eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.10246559999905,None,1,0.9560648999995465,12.10246559999905,None,,,,,,,,,,,,,,,,,,,,,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
,,,,,,,,,,,,,,,,,,13.077068900000086,5,15.690590500000326,13.089653199998793,None,,,,,,,,,,,,,,,,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,28.790617599999678,0.05582949999916309,0.05582949999916309,5,3.910216700000092,28.870221699999092,None,28.870221699999092,None,28.870221699999092,None,28.870221699999092,28.870221699999092,28.870221699999092,None,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
4.0,4.75,17,0.75,Stimuli/P003/sun_bojovhhraxtgafcy.jpg,0,0,0.0,0,1,1,1,,,,,,,,,,,,,4.021763599999758,0.0217635999997583,None,,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,32.8406705999987,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
4.75,5.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,4.771256699999867,0.021256699999867124,None,,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,33.59143260000019,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
5.0,5.75,17,0.75,Stimuli/P003/sun_bojovhhraxtgafcy.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,5.020613000000594,0.020613000000594184,None,,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,33.8413103999992,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
5.75,6.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,5.770791499999177,0.020791499999177177,None,,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,34.575275899998815,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
6.0,6.75,17,0.75,Stimuli/P003/sun_bojovhhraxtgafcy.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,6.004067500000019,0.0040675000000192085,None,,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,34.808808099998714,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
6.75,7.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,6.755461599999762,0.005461599999762257,None,,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,35.559478499999386,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
7.0,7.75,17,0.75,Stimuli/P003/sun_bojovhhraxtgafcy.jpg,0,0,0.0,0,7,7,7,,,,,,,,,,,,,7.0045855999997,0.004585599999700207,None,,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,35.80968709999979,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,8,8,8,,,,,,,,,,,,,7.75556940000024,0.005569400000240421,None,,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,36.560356399999364,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
8.0,8.75,27,0.75,Stimuli/P003/things_llama_02s.jpg,0,0,0.0,0,9,9,9,,,,,,,,,,,,,8.005842399999892,0.005842399999892223,None,,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,36.827264899999136,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
