eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.469270999998116,None,1,9.14904480000041,11.469270999998116,None,,,,,,,,,,,,,,,,,,,,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
,,,,,,,,,,,,,,,,,,20.630645499997627,5,12.947215100000903,20.643164799999795,None,,,,,,,,,,,,,,,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0.0,0.0,0,0,0,0,,,,,,,,,,,,33.60699929999828,0.016237799998634728,0.016237799998634728,None,33.637981100000616,None,33.637981100000616,None,33.637981100000616,None,33.637981100000616,33.637981100000616,33.637981100000616,None,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
4.0,4.75,29,0.75,Stimuli/P015/things_mouse1_08s.jpg,0,0.0,0.0,0,1,1,1,,,,,,,,,,,,,4.004037499998958,0.004037499998958083,None,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,37.62514159999773,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
4.75,8.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,2,2,2,,,,,,,,,,,,,4.7540024000009,0.004002400000899797,None,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,38.37576840000111,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
8.0,8.75,30,0.75,Stimuli/P015/things_ottoman_08s.jpg,0,0.0,0.0,0,3,3,3,,,,,,,,,,,,,8.009240299998055,0.00924029999805498,None,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,41.64507859999867,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
8.75,12.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,4,4,4,,,,,,,,,,,,,8.775001099998917,0.025001099998917198,None,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,42.39573440000095,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
12.0,12.75,25,0.75,Stimuli/P015/things_deer_08s.jpg,1,0.0,0.75,0,5,5,5,,,,,,,,,,,,,12.010831999999937,0.01083199999993667,1,45.648624599998584,45.648624599998584,45.648624599998584,45.648624599998584,45.648624599998584,45.648624599998584,45.648624599998584,46.365952899999684,45.648624599998584,45.648624599998584,0.49960230000215233,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
12.75,16.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,6,6,6,,,,,,,,,,,,,12.778453899998567,0.028453899998567067,None,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,46.39928619999773,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
16.0,16.75,28,0.75,Stimuli/P015/things_latte_08s.jpg,0,0.0,0.0,0,7,7,7,,,,,,,,,,,,,16.016651800000545,0.016651800000545336,None,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,49.65216610000061,,002,P015,2025_Feb_28_1757,ConditionRich,2021.2.3,59.90470359672648,
