eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.979917399999977,None,2,1.547753400001966,10.979917399999977,None,,,,,,,,,,,,,,,,,,,,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
,,,,,,,,,,,,,,,,,,12.531602199996996,5,13.44000010000309,12.544651899996097,None,,,,,,,,,,,,,,,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0.0,0.0,0,0,0,0,,,,,,,,,,,,25.99337829999422,0.030165099997248035,0.030165099997248035,None,26.039892099994177,None,26.039892099994177,None,26.039892099994177,None,26.039892099994177,26.039892099994177,26.039892099994177,None,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
4.0,4.75,5,0.75,Stimuli/P018/sun_apojgqgvdvsksdvo.jpg,0,0.0,0.0,0,1,1,1,,,,,,,,,,,,,4.004878899999312,0.004878899999312125,None,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,30.027028799995605,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
4.75,8.0,41,0.0,Stimuli/Blank.png,1,2.25,3.0,0,2,2,2,,,,,,,,,,,,,4.770131400000537,0.020131400000536814,2,30.778009599998768,30.778009599998768,30.778009599998768,30.778009599998768,30.778009599998768,30.778009599998768,33.01280140000017,33.76341329999559,30.778009599998768,30.778009599998768,2.5867523000051733,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
8.0,8.75,12,0.75,Stimuli/P018/sun_bhvaiabdgxjuwoth.jpg,0,0.0,0.0,0,3,3,3,,,,,,,,,,,,,8.006495800000266,0.006495800000266172,None,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,34.013639999997395,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
8.75,12.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,4,4,4,,,,,,,,,,,,,8.758392700001423,0.008392700001422781,None,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,34.781030699996336,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
12.0,12.75,14,0.75,Stimuli/P018/sun_bljpqnfmmqkjsfvx.jpg,1,0.0,0.75,0,5,5,5,,,,,,,,,,,,,12.028198100000736,0.028198100000736304,2,38.05054799999925,38.05054799999925,38.05054799999925,38.05054799999925,38.05054799999925,38.05054799999925,38.05054799999925,None,38.05054799999925,38.05054799999925,0.4481156999972882,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
12.75,16.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,6,6,6,,,,,,,,,,,,,12.776742900001409,0.026742900001408998,None,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,38.78450899999734,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
16.0,16.75,18,0.75,Stimuli/P018/sun_brrvvswweljrvnlq.jpg,0,0.0,0.0,0,7,7,7,,,,,,,,,,,,,16.013221799999883,0.013221799999882933,None,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,42.02071309999883,,006,P018,2025_Mar_07_1826,ConditionRich,2021.2.3,59.899823535027,
