eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.085966200000257,None,1,6.725485900002241,10.085966200000257,None,,,,,,,,,,,,,,,,,,,,,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
,,,,,,,,,,,,,,,,,,16.824310800002422,5,14.152560399998038,16.836806400002388,None,,,,,,,,,,,,,,,,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,31.003067799996643,0.04738740000175312,0.04738740000175312,1,0.5713754999960656,31.06601860000228,None,31.06601860000228,None,31.06601860000228,None,31.06601860000228,31.06601860000228,31.06601860000228,None,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
4.0,7.75,34,0.75,Stimuli/P016/things_shower_cap_08s.jpg,0,0,0.0,0,1,1,1,,,,,,,,,,,,,4.004331000003731,0.004331000003730878,None,,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,35.036487799996394,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,7.7722293000042555,0.022229300004255492,None,,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,38.78981460000068,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
8.0,11.75,16,0.75,Stimuli/P016/sun_bwhuwxazfqwuqhik.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,8.00531640000554,0.005316400005540345,None,,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,39.03974719999678,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,11.776109700003872,0.026109700003871694,None,,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,42.793066599995655,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
12.0,15.75,7,0.75,Stimuli/P016/sun_aqdfrmtvewaapuqs.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,12.009950300001947,0.009950300001946744,None,,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,43.02661149999767,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,15.762891900005343,0.012891900005342904,None,,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,46.77992770000128,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
16.0,19.75,10,0.75,Stimuli/P016/sun_bfojpvrlsrtfyzio.jpg,0,0,0.0,0,7,7,7,,,,,,,,,,,,,16.013181700000132,0.013181700000131968,None,,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,47.03013159999682,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
19.75,20.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,8,8,8,,,,,,,,,,,,,19.749738100006653,-0.0002618999933474697,None,,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,50.76678140000149,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
20.0,23.75,39,0.75,Stimuli/P016/things_window_08s.jpg,0,0,0.0,0,9,9,9,,,,,,,,,,,,,20.000039900005504,3.9900005504023284e-05,None,,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,51.033677499995974,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
23.75,24.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,10,10,10,,,,,,,,,,,,,23.769599900006142,0.01959990000614198,None,,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,54.78699649999908,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
24.0,27.75,24,0.75,Stimuli/P016/things_bunkbed_08s.jpg,1,2,2.75,0,11,11,11,,,,,,,,,,,,,24.00340480000159,0.003404800001590047,1,2.5218009000018355,55.020535999996355,55.020535999996355,55.020535999996355,55.020535999996355,55.020535999996355,55.020535999996355,57.00565619999543,57.756301199995505,55.020535999996355,55.020535999996355,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
27.75,28.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,12,12,12,,,,,,,,,,,,,27.7590582000048,0.00905820000480162,None,,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,58.790545399999246,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
28.0,31.75,29,0.75,Stimuli/P016/things_mouse1_08s.jpg,0,0,0.0,0,13,13,13,,,,,,,,,,,,,28.02343870000186,0.023438700001861434,None,,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,59.040755099995295,002,P022,2025_May_13_1705,ConditionRich,2021.2.3,59.942048028061,
