,miniblock,er,sus
0,scene16,isanimate9,inanimate3
1,isanimate9,inanimate5,inanimate7
2,scene5,scene10,scene0
3,inanimate4,isanimate5,scene19
4,isanimate4,scene16,scene10
5,scene6,scene13,scene1
6,isanimate6,scene9,inanimate1
7,inanimate9,isanimate1,inanimate4
8,scene7,scene18,scene12
9,inanimate3,isanimate0,scene18
10,inanimate7,scene1,isanimate9
11,scene19,scene5,inanimate8
12,inanimate5,inanimate7,inanimate2
13,scene1,isanimate2,scene8
14,scene4,inanimate6,isanimate4
15,scene15,scene6,scene3
16,inanimate0,scene4,scene16
17,isanimate8,isanimate4,scene4
18,scene9,inanimate9,scene13
19,scene14,inanimate1,scene5
20,scene3,scene11,scene17
21,inanimate2,scene0,scene15
22,inanimate8,isanimate7,scene6
23,scene12,scene14,scene9
24,isanimate0,inanimate4,isanimate5
25,scene2,inanimate3,inanimate5
26,isanimate2,isanimate6,isanimate7
27,scene10,scene7,isanimate2
28,inanimate6,scene2,isanimate3
29,scene17,scene19,inanimate0
30,isanimate5,inanimate0,isanimate0
31,inanimate1,scene8,scene14
32,scene0,scene3,scene7
33,isanimate7,scene15,inanimate6
34,scene18,isanimate8,isanimate8
35,scene8,isanimate3,inanimate9
36,isanimate1,inanimate8,isanimate1
37,isanimate3,inanimate2,scene2
38,scene13,scene12,scene11
39,scene11,scene17,isanimate6
40,scene6,isanimate0,scene15
41,scene3,inanimate3,inanimate2
42,isanimate0,scene19,scene8
43,inanimate7,isanimate8,isanimate4
44,scene19,isanimate9,isanimate0
45,scene14,inanimate0,scene2
46,inanimate8,scene7,inanimate4
47,isanimate9,isanimate3,isanimate8
48,inanimate0,scene4,scene1
49,inanimate5,scene15,isanimate3
50,scene4,scene3,scene10
51,scene11,inanimate8,inanimate5
52,scene16,scene12,scene3
53,isanimate5,scene18,scene16
54,scene9,inanimate5,isanimate5
55,scene7,inanimate4,scene19
56,inanimate2,isanimate4,inanimate0
57,scene15,inanimate7,isanimate6
58,scene12,scene5,scene4
59,isanimate2,isanimate1,isanimate9
60,scene17,scene11,isanimate2
61,scene10,scene14,inanimate9
62,inanimate6,isanimate5,scene7
63,isanimate8,scene0,scene18
64,scene1,inanimate9,inanimate8
65,isanimate6,scene1,scene5
66,isanimate4,scene8,isanimate1
67,scene0,isanimate7,scene14
68,inanimate9,scene9,inanimate7
69,isanimate7,isanimate6,scene17
70,scene8,scene6,inanimate3
71,scene13,scene10,scene12
72,scene2,scene17,scene9
73,scene5,scene16,inanimate1
74,inanimate1,scene13,scene6
75,isanimate3,scene2,scene13
76,isanimate1,inanimate1,scene0
77,inanimate3,isanimate2,inanimate6
78,scene18,inanimate6,isanimate7
79,inanimate4,inanimate2,scene11
80,scene14,inanimate1,inanimate5
81,scene11,scene3,scene19
82,isanimate3,scene9,scene2
83,isanimate6,scene5,scene11
84,scene6,scene10,scene0
85,scene3,scene13,scene9
86,inanimate3,scene6,scene7
87,isanimate5,inanimate9,isanimate1
88,scene18,isanimate7,inanimate9
89,isanimate8,scene15,scene16
90,scene4,scene4,isanimate8
91,inanimate1,inanimate4,isanimate5
92,scene16,scene8,scene14
93,scene7,isanimate1,scene13
94,isanimate1,inanimate0,isanimate4
95,scene5,isanimate5,scene4
96,isanimate7,scene17,scene10
97,isanimate2,inanimate5,isanimate0
98,inanimate9,isanimate8,isanimate9
99,isanimate0,scene0,scene15
100,scene9,isanimate4,scene17
101,inanimate4,scene1,inanimate2
102,isanimate9,isanimate2,scene1
103,inanimate2,isanimate0,scene6
104,isanimate4,scene16,inanimate3
105,scene12,scene12,inanimate8
106,scene8,inanimate6,isanimate7
107,scene10,isanimate6,isanimate3
108,inanimate8,scene11,scene8
109,inanimate0,isanimate3,inanimate4
110,scene2,isanimate9,isanimate2
111,scene13,scene7,scene3
112,scene17,inanimate2,inanimate7
113,scene19,scene18,scene12
114,inanimate6,inanimate8,inanimate6
115,scene1,scene19,scene18
116,inanimate5,scene2,inanimate1
117,inanimate7,scene14,scene5
118,scene0,inanimate7,inanimate0
119,scene15,inanimate3,isanimate6
120,scene3,isanimate5,isanimate5
121,scene14,isanimate0,scene1
122,scene0,inanimate3,scene9
123,isanimate3,inanimate1,inanimate3
124,scene17,scene19,inanimate5
125,isanimate0,isanimate9,isanimate7
126,isanimate5,isanimate2,scene2
127,scene5,scene10,inanimate6
128,scene1,isanimate8,scene4
129,inanimate9,isanimate4,scene3
130,scene8,inanimate8,scene6
131,isanimate9,scene18,isanimate4
132,scene6,scene4,scene0
133,scene2,scene8,inanimate1
134,inanimate7,scene14,scene12
135,isanimate2,inanimate0,scene5
136,inanimate4,scene5,inanimate4
137,scene19,scene9,isanimate6
138,scene15,inanimate4,scene18
139,scene7,scene7,isanimate2
140,isanimate4,inanimate2,isanimate8
141,inanimate1,inanimate9,scene14
142,isanimate7,scene2,scene13
143,isanimate8,scene11,scene17
144,scene10,isanimate1,isanimate9
145,scene11,isanimate6,inanimate2
146,scene13,scene0,scene7
147,inanimate8,scene3,isanimate0
148,inanimate0,scene1,inanimate7
149,isanimate6,isanimate7,isanimate3
150,inanimate2,scene13,scene11
151,scene18,scene12,scene16
152,inanimate3,inanimate5,scene19
153,scene4,inanimate7,scene8
154,inanimate6,scene6,inanimate8
155,scene12,inanimate6,inanimate0
156,scene16,scene15,scene10
157,isanimate1,scene17,scene15
158,inanimate5,isanimate3,isanimate1
159,scene9,scene16,inanimate9
160,scene10,inanimate8,inanimate8
161,scene2,inanimate7,inanimate7
162,inanimate3,scene7,scene12
163,scene17,scene18,scene11
164,isanimate4,inanimate6,scene5
165,inanimate6,isanimate3,scene9
166,scene16,scene10,scene13
167,scene9,scene11,scene14
168,scene14,isanimate2,isanimate7
169,inanimate9,scene9,isanimate2
170,scene3,isanimate1,scene17
171,inanimate7,scene5,isanimate8
172,isanimate2,scene15,inanimate9
173,scene4,scene6,scene6
174,inanimate4,inanimate3,isanimate6
175,scene15,scene2,isanimate4
176,isanimate7,inanimate5,scene4
177,scene13,scene3,inanimate3
178,scene12,scene1,scene7
179,isanimate5,inanimate2,scene8
180,scene6,scene4,scene0
181,scene19,scene17,inanimate6
182,inanimate2,isanimate5,inanimate2
183,scene5,isanimate6,scene3
184,inanimate5,inanimate0,isanimate9
185,scene7,scene16,inanimate4
186,isanimate1,inanimate9,isanimate5
187,isanimate3,isanimate9,scene15
188,scene0,isanimate8,isanimate0
189,inanimate1,scene14,scene10
190,isanimate0,scene13,scene16
191,isanimate9,scene0,scene1
192,inanimate8,isanimate0,inanimate5
193,scene1,scene8,scene19
194,isanimate8,inanimate1,isanimate1
195,isanimate6,isanimate7,scene2
196,scene8,scene19,isanimate3
197,inanimate0,isanimate4,inanimate1
198,scene18,scene12,inanimate0
199,scene11,inanimate4,scene18
200,inanimate8,scene0,isanimate5
201,scene0,scene18,scene16
202,scene18,isanimate4,scene0
203,isanimate8,scene17,inanimate7
204,inanimate3,isanimate8,scene15
205,scene3,isanimate3,inanimate1
206,scene8,inanimate8,isanimate7
207,isanimate2,inanimate4,scene9
208,scene12,scene7,scene19
209,scene14,scene1,inanimate0
210,scene16,scene9,scene11
211,scene9,scene2,isanimate0
212,scene6,inanimate7,scene1
213,inanimate0,scene16,isanimate8
214,scene5,scene3,inanimate3
215,inanimate5,scene8,scene12
216,isanimate7,inanimate1,scene18
217,isanimate4,scene15,scene5
218,scene4,isanimate2,isanimate2
219,inanimate6,scene14,scene4
220,inanimate4,inanimate0,scene3
221,scene7,inanimate9,isanimate3
222,inanimate9,isanimate6,scene14
223,inanimate2,scene12,scene13
224,scene2,isanimate1,isanimate6
225,isanimate9,inanimate5,scene2
226,inanimate7,isanimate7,inanimate5
227,isanimate0,isanimate9,scene10
228,scene17,scene5,inanimate8
229,isanimate6,scene6,inanimate2
230,scene1,scene11,scene8
231,isanimate1,inanimate2,scene6
232,scene13,inanimate3,isanimate1
233,scene15,scene10,inanimate4
234,isanimate3,inanimate6,inanimate9
235,scene11,scene13,inanimate6
236,inanimate1,isanimate5,scene7
237,isanimate5,scene4,isanimate9
238,scene10,isanimate0,isanimate4
239,scene19,scene19,scene17
