eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.561177300000054,None,1,8.35936539999966,9.561177300000054,None,,,,,,,,,,,,,,,,,,,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
,,,,,,,,,,,,,,,,,17.934021400000347,5,14.108802099999593,17.94667219999974,None,,,,,,,,,,,,,,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,32.06321839999964,0.04978760000085458,0.04978760000085458,5,9.929772799999228,32.12585409999974,None,32.12585409999974,None,32.12585409999974,None,32.12585409999974,None,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Knife_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.009800500000892,0.009800500000892498,None,,44.10310759999993,44.10310759999993,44.10310759999993,44.10310759999993,44.10310759999993,44.10310759999993,44.10310759999993,44.10310759999993,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.82675080000081,0.02675080000080854,None,,44.90380749999986,44.90380749999986,44.90380749999986,44.90380749999986,44.90380749999986,44.90380749999986,44.90380749999986,44.90380749999986,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Boat_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.009976800000004,0.009976800000004005,None,,45.10397339999963,45.10397339999963,45.10397339999963,45.10397339999963,45.10397339999963,45.10397339999963,45.10397339999963,45.10397339999963,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.827094600000237,0.027094600000236113,5,0.15070310000010068,45.90468460000011,45.90468460000011,45.90468460000011,45.90468460000011,45.90468460000011,45.90468460000011,45.90468460000011,45.90468460000011,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Boat_00001.png,1,1,0,5,5,5,,,,,,,,,,,,,14.010534400000324,0.01053440000032424,1,0.42719429999942804,46.088179299999865,46.088179299999865,46.088179299999865,46.088179299999865,46.088179299999865,46.088179299999865,46.088179299999865,46.088179299999865,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.81160650000038,0.011606500000379327,None,,46.88888560000032,46.88888560000032,46.88888560000032,46.88888560000032,46.88888560000032,46.88888560000032,46.88888560000032,46.88888560000032,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Wagon_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.011901300000318,0.01190130000031786,None,,47.105776600000354,47.105776600000354,47.105776600000354,47.105776600000354,47.105776600000354,47.105776600000354,47.105776600000354,47.105776600000354,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
