eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,13.519904400000087,None,2,8.188890100000208,13.519904400000087,None,,,,,,,,,,,,,,,,,,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
,,,,,,,,,,,,,,,,,21.723974699999417,5,14.441791500000363,21.736931200000072,None,,,,,,,,,,,,,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,36.186326399999416,0.029383499999312335,0.029383499999312335,None,36.23309109999991,None,36.23309109999991,None,36.23309109999991,None,36.23309109999991,None,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Hamburger_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.011124599999675,0.01112459999967541,None,48.22701179999967,48.22701179999967,48.22701179999967,48.22701179999967,48.22701179999967,48.22701179999967,48.22701179999967,48.22701179999967,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.828190399999585,0.02819039999958406,None,49.02769989999979,49.02769989999979,49.02769989999979,49.02769989999979,49.02769989999979,49.02769989999979,49.02769989999979,49.02769989999979,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Pepper_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.010689099999581,0.01068909999958123,None,49.22788929999933,49.22788929999933,49.22788929999933,49.22788929999933,49.22788929999933,49.22788929999933,49.22788929999933,49.22788929999933,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.827626799999962,0.027626799999961094,None,50.02858079999987,50.02858079999987,50.02858079999987,50.02858079999987,50.02858079999987,50.02858079999987,50.02858079999987,50.02858079999987,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Belt_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.011413499999435,0.011413499999434862,None,50.22878009999931,50.22878009999931,50.22878009999931,50.22878009999931,50.22878009999931,50.22878009999931,50.22878009999931,50.22878009999931,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.829514000000017,0.029514000000016694,None,51.02947159999985,51.02947159999985,51.02947159999985,51.02947159999985,51.02947159999985,51.02947159999985,51.02947159999985,51.02947159999985,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Truck_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.012999399999899,0.012999399999898742,None,51.229746399999385,51.229746399999385,51.229746399999385,51.229746399999385,51.229746399999385,51.229746399999385,51.229746399999385,51.229746399999385,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.829283099999884,0.029283099999883433,None,52.03034729999945,52.03034729999945,52.03034729999945,52.03034729999945,52.03034729999945,52.03034729999945,52.03034729999945,52.03034729999945,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Plate_00001.png,0,0,0,9,9,9,,,,,,,,,,,,,16.01337539999986,0.013375399999858928,None,52.230596599999444,52.230596599999444,52.230596599999444,52.230596599999444,52.230596599999444,52.230596599999444,52.230596599999444,52.230596599999444,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
