eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,12.52338620000046,None,1,10.379399299999932,12.52338620000046,None,,,,,,,,,,,,,,,,,,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
,,,,,,,,,,,,,,,,,22.9076385999997,5,0.6692741000006208,22.921481200000926,None,,,,,,,,,,,,,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,23.608877000000575,0.04533660000015516,0.04533660000015516,None,23.672099999999773,None,23.672099999999773,None,23.672099999999773,None,23.672099999999773,None,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Toilet_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.010759700000563,0.010759700000562589,None,35.64936940000007,35.64936940000007,35.64936940000007,35.64936940000007,35.64936940000007,35.64936940000007,35.64936940000007,35.64936940000007,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.82849030000034,0.02849030000033892,None,36.45030179999958,36.45030179999958,36.45030179999958,36.45030179999958,36.45030179999958,36.45030179999958,36.45030179999958,36.45030179999958,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Highchair_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.012546899999506,0.012546899999506422,None,36.65029970000069,36.65029970000069,36.65029970000069,36.65029970000069,36.65029970000069,36.65029970000069,36.65029970000069,36.65029970000069,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.828372100000706,0.028372100000705558,None,37.45094280000012,37.45094280000012,37.45094280000012,37.45094280000012,37.45094280000012,37.45094280000012,37.45094280000012,37.45094280000012,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Boat_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.012755499999912,0.01275549999991199,None,37.66782150000108,37.66782150000108,37.66782150000108,37.66782150000108,37.66782150000108,37.66782150000108,37.66782150000108,37.66782150000108,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.844903499999418,0.04490349999941756,None,38.46853630000078,38.46853630000078,38.46853630000078,38.46853630000078,38.46853630000078,38.46853630000078,38.46853630000078,38.46853630000078,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Banana_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.014164599999276,0.014164599999276106,None,38.652034200000344,38.652034200000344,38.652034200000344,38.652034200000344,38.652034200000344,38.652034200000344,38.652034200000344,38.652034200000344,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.829863999999361,0.029863999999360402,None,39.452734300000884,39.452734300000884,39.452734300000884,39.452734300000884,39.452734300000884,39.452734300000884,39.452734300000884,39.452734300000884,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Tool_00001.png,0,0,0,9,9,9,,,,,,,,,,,,,16.013242699998955,0.013242699998954777,None,39.65297029999965,39.65297029999965,39.65297029999965,39.65297029999965,39.65297029999965,39.65297029999965,39.65297029999965,39.65297029999965,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
