eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,17.22839709999971,None,1,27.90374150000207,17.22839709999971,None,,,,,,,,,,,,,,,,,,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
,,,,,,,,,,,,,,,,,45.140771099999256,5,0.7458017999997537,45.15453089999937,None,,,,,,,,,,,,,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,45.90886649999811,0.05495929999960936,0.05495929999960936,None,45.98855939999703,None,45.98855939999703,None,45.98855939999703,None,45.98855939999703,None,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Door_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.026556299999356,0.02655629999935627,None,57.94912649999969,57.94912649999969,57.94912649999969,57.94912649999969,57.94912649999969,57.94912649999969,57.94912649999969,57.94912649999969,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.810279499997705,0.010279499997704278,None,58.7331572999974,58.7331572999974,58.7331572999974,58.7331572999974,58.7331572999974,58.7331572999974,58.7331572999974,58.7331572999974,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Sock_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.010438399996929,0.010438399996928638,None,58.933268699998735,58.933268699998735,58.933268699998735,58.933268699998735,58.933268699998735,58.933268699998735,58.933268699998735,58.933268699998735,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.8115278999976,0.011527899997599178,None,59.73404009999649,59.73404009999649,59.73404009999649,59.73404009999649,59.73404009999649,59.73404009999649,59.73404009999649,59.73404009999649,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Dice_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.01175879999937,0.01175879999937024,None,59.950902399999904,59.950902399999904,59.950902399999904,59.950902399999904,59.950902399999904,59.950902399999904,59.950902399999904,59.950902399999904,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.830314399998315,0.0303143999983142,None,60.76828839999871,60.76828839999871,60.76828839999871,60.76828839999871,60.76828839999871,60.76828839999871,60.76828839999871,60.76828839999871,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Gun_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.028311899997789,0.028311899997788714,None,60.95185849999689,60.95185849999689,60.95185849999689,60.95185849999689,60.95185849999689,60.95185849999689,60.95185849999689,60.95185849999689,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
