eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.513024300002144,None,2,8.37380259999918,11.513024300002144,None,,,,,,,,,,,,,,,,,,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
,,,,,,,,,,,,,,,,,19.89274970000406,5,14.89364840000053,19.906025100004626,None,,,,,,,,,,,,,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,34.806500500002585,0.06483070000103908,0.06483070000103908,None,34.88587650000409,None,34.88587650000409,None,34.88587650000409,None,34.88587650000409,None,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pencil_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.013946599996416,0.013946599996415898,None,46.846460200002184,46.846460200002184,46.846460200002184,46.846460200002184,46.846460200002184,46.846460200002184,46.846460200002184,46.846460200002184,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.826084199994511,0.026084199994510726,None,47.64716459999909,47.64716459999909,47.64716459999909,47.64716459999909,47.64716459999909,47.64716459999909,47.64716459999909,47.64716459999909,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Key_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.011222199995245,0.011222199995245319,None,47.847364900000684,47.847364900000684,47.847364900000684,47.847364900000684,47.847364900000684,47.847364900000684,47.847364900000684,47.847364900000684,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.82693499999732,0.02693499999731941,None,48.64804620000359,48.64804620000359,48.64804620000359,48.64804620000359,48.64804620000359,48.64804620000359,48.64804620000359,48.64804620000359,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Recliner_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.01107509999565,0.011075099995650817,None,48.83153570000286,48.83153570000286,48.83153570000286,48.83153570000286,48.83153570000286,48.83153570000286,48.83153570000286,48.83153570000286,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.811697899996943,0.011697899996942596,None,49.63225390000298,49.63225390000298,49.63225390000298,49.63225390000298,49.63225390000298,49.63225390000298,49.63225390000298,49.63225390000298,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Locker_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.011819299994386,0.011819299994385801,None,49.83243030000449,49.83243030000449,49.83243030000449,49.83243030000449,49.83243030000449,49.83243030000449,49.83243030000449,49.83243030000449,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.812438799999654,0.012438799999653583,None,50.633133000003,50.633133000003,50.633133000003,50.633133000003,50.633133000003,50.633133000003,50.633133000003,50.633133000003,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Peanut_00001.png,0,0,0,9,9,9,,,,,,,,,,,,,16.012180999998236,0.012180999998236075,None,50.850063099998806,50.850063099998806,50.850063099998806,50.850063099998806,50.850063099998806,50.850063099998806,50.850063099998806,50.850063099998806,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
16.8,17.0,5,0.0,Stimuli\Blank.png,0,0,0,10,10,10,,,,,,,,,,,,,16.830231799998728,0.030231799998727382,None,51.65070350000315,51.65070350000315,51.65070350000315,51.65070350000315,51.65070350000315,51.65070350000315,51.65070350000315,51.65070350000315,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
17.0,17.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Nightstand_00001.png,0,0,0,11,11,11,,,,,,,,,,,,,17.0158322999996,0.015832299999601673,None,51.85088689999975,51.85088689999975,51.85088689999975,51.85088689999975,51.85088689999975,51.85088689999975,51.85088689999975,51.85088689999975,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
17.8,18.0,5,0.0,Stimuli\Blank.png,0,0,0,12,12,12,,,,,,,,,,,,,17.81445829999575,0.014458299995748547,None,52.63492060000135,52.63492060000135,52.63492060000135,52.63492060000135,52.63492060000135,52.63492060000135,52.63492060000135,52.63492060000135,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
18.0,18.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Nightstand_00001.png,1,1,0,13,13,13,,,,,,,,,,,,,18.014888699995936,0.014888699995935895,2,52.851791500004765,52.851791500004765,52.851791500004765,52.851791500004765,52.851791500004765,52.851791500004765,52.851791500004765,52.851791500004765,0.3062130000034813,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.832075599995733,0.03207559999573206,None,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bottle_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.015689799998654,0.015689799998654053,None,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.800205200001074,0.000205200001072825,None,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pizza_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.000887099995452,0.000887099995452445,None,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
