eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,15.16917679999915,None,1,1.2188279000001785,15.16917679999915,None,,,,,,,,,,,,,,,,,,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
,,,,,,,,,,,,,,,,,16.399012799999582,5,21.061672400000134,16.411303599999883,None,,,,,,,,,,,,,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,37.483707699999286,0.04283510000004753,0.04283510000004753,None,37.5465949999998,None,37.5465949999998,None,37.5465949999998,None,37.5465949999998,None,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Bowl_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.009877200000119,0.009877200000119046,None,49.54055959999914,49.54055959999914,49.54055959999914,49.54055959999914,49.54055959999914,49.54055959999914,49.54055959999914,49.54055959999914,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.843929200000275,0.04392920000027445,None,50.341262599999936,50.341262599999936,50.341262599999936,50.341262599999936,50.341262599999936,50.341262599999936,50.341262599999936,50.341262599999936,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_ArmChair_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.011309299999994,0.011309299999993527,None,50.524782099999356,50.524782099999356,50.524782099999356,50.524782099999356,50.524782099999356,50.524782099999356,50.524782099999356,50.524782099999356,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.828915900000538,0.028915900000537675,None,51.342147499999555,51.342147499999555,51.342147499999555,51.342147499999555,51.342147499999555,51.342147499999555,51.342147499999555,51.342147499999555,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Pin_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.029271100000187,0.02927110000018729,None,51.559012199999415,51.559012199999415,51.559012199999415,51.559012199999415,51.559012199999415,51.559012199999415,51.559012199999415,51.559012199999415,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.845116899999994,0.04511689999999291,None,52.34302429999934,52.34302429999934,52.34302429999934,52.34302429999934,52.34302429999934,52.34302429999934,52.34302429999934,52.34302429999934,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Wheelchair_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.012077000000318,0.01207700000031764,None,52.526524699999754,52.526524699999754,52.526524699999754,52.526524699999754,52.526524699999754,52.526524699999754,52.526524699999754,52.526524699999754,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.828743800000666,0.02874380000066523,None,53.32722969999941,53.32722969999941,53.32722969999941,53.32722969999941,53.32722969999941,53.32722969999941,53.32722969999941,53.32722969999941,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Lawnmower_00001.png,0,0,0,9,9,9,,,,,,,,,,,,,16.012256900000466,0.012256900000465976,None,53.527416699999776,53.527416699999776,53.527416699999776,53.527416699999776,53.527416699999776,53.527416699999776,53.527416699999776,53.527416699999776,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
16.8,17.0,5,0.0,Stimuli\Blank.png,0,0,0,10,10,10,,,,,,,,,,,,,16.829815800000688,0.029815800000687176,None,54.32816060000005,54.32816060000005,54.32816060000005,54.32816060000005,54.32816060000005,54.32816060000005,54.32816060000005,54.32816060000005,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
17.0,17.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Plate_00001.png,0,0,0,11,11,11,,,,,,,,,,,,,17.013819000000694,0.01381900000069436,None,54.52830359999916,54.52830359999916,54.52830359999916,54.52830359999916,54.52830359999916,54.52830359999916,54.52830359999916,54.52830359999916,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
17.8,18.0,5,0.0,Stimuli\Blank.png,0,0,0,12,12,12,,,,,,,,,,,,,17.830597600000146,0.030597600000145775,None,55.328996299999744,55.328996299999744,55.328996299999744,55.328996299999744,55.328996299999744,55.328996299999744,55.328996299999744,55.328996299999744,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
18.0,18.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Strawberry_00001.png,0,0,0,13,13,13,,,,,,,,,,,,,18.01523630000065,0.015236300000651681,None,55.529168899999604,55.529168899999604,55.529168899999604,55.529168899999604,55.529168899999604,55.529168899999604,55.529168899999604,55.529168899999604,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.815444500000012,0.01544450000001163,None,56.313192899999194,56.313192899999194,56.313192899999194,56.313192899999194,56.313192899999194,56.313192899999194,56.313192899999194,56.313192899999194,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Grill_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.000973900000645,0.0009739000006447895,None,56.53005639999992,56.53005639999992,56.53005639999992,56.53005639999992,56.53005639999992,56.53005639999992,56.53005639999992,56.53005639999992,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.83353570000054,0.03353570000053807,None,57.330785999999534,57.330785999999534,57.330785999999534,57.330785999999534,57.330785999999534,57.330785999999534,57.330785999999534,57.330785999999534,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Jar_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,19.999252399999932,-0.0007476000000679051,None,57.530942099999265,57.530942099999265,57.530942099999265,57.530942099999265,57.530942099999265,57.530942099999265,57.530942099999265,57.530942099999265,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.833929100000205,0.033929100000204215,None,58.33165839999947,58.33165839999947,58.33165839999947,58.33165839999947,58.33165839999947,58.33165839999947,58.33165839999947,58.33165839999947,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Dishwasher_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.00067930000023,0.0006793000002289773,None,58.515128000000004,58.515128000000004,58.515128000000004,58.515128000000004,58.515128000000004,58.515128000000004,58.515128000000004,58.515128000000004,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.817681500000617,0.017681500000616523,None,59.315855799999554,59.315855799999554,59.315855799999554,59.315855799999554,59.315855799999554,59.315855799999554,59.315855799999554,59.315855799999554,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Mailbox_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.00167810000039,0.001678100000390259,None,59.49934479999956,59.49934479999956,59.49934479999956,59.49934479999956,59.49934479999956,59.49934479999956,59.49934479999956,59.49934479999956,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.803924700000607,0.003924700000606407,None,60.31677199999922,60.31677199999922,60.31677199999922,60.31677199999922,60.31677199999922,60.31677199999922,60.31677199999922,60.31677199999922,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Mailbox_00001.png,1,1,0,23,23,23,,,,,,,,,,,,,23.019365900000594,0.019365900000593683,1,60.51692209999965,60.51692209999965,60.51692209999965,60.51692209999965,60.51692209999965,60.51692209999965,60.51692209999965,60.51692209999965,0.42788889999974344,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.805597300000045,0.005597300000044214,None,61.31764009999915,61.31764009999915,61.31764009999915,61.31764009999915,61.31764009999915,61.31764009999915,61.31764009999915,61.31764009999915,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Ladder_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.01968190000025,0.019681900000250607,None,61.55117659999996,61.55117659999996,61.55117659999996,61.55117659999996,61.55117659999996,61.55117659999996,61.55117659999996,61.55117659999996,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.83897060000072,0.03897060000072017,None,62.35190089999924,62.35190089999924,62.35190089999924,62.35190089999924,62.35190089999924,62.35190089999924,62.35190089999924,62.35190089999924,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Glass_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.02096000000074,0.020960000000741275,None,62.552065500000026,62.552065500000026,62.552065500000026,62.552065500000026,62.552065500000026,62.552065500000026,62.552065500000026,62.552065500000026,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.83850110000003,0.03850110000002971,None,63.33608079999976,63.33608079999976,63.33608079999976,63.33608079999976,63.33608079999976,63.33608079999976,63.33608079999976,63.33608079999976,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
