,ROI,runtype,component,value
0,FFA,sus,1,0.3474046637022118
1,FFA,sus,2,0.40391382136129683
2,FFA,sus,3,0.44510541055094494
3,FFA,sus,4,0.470812808143014
4,FFA,sus,5,0.49246251316120027
5,FFA,sus,6,0.511665879050603
6,FFA,sus,7,0.5268627166935774
7,FFA,sus,8,0.5396701716375168
8,FFA,sus,9,0.5499843831598479
9,FFA,sus,10,0.5590113265197644
10,FFA,sus,11,0.5669819058054345
11,FFA,sus,12,0.5743184355609408
12,FFA,sus,13,0.5806305378714962
13,FFA,sus,14,0.5869949877404992
14,FFA,sus,15,0.5925099155636461
15,FFA,sus,16,0.5981154056865935
16,FFA,sus,17,0.603328596808814
17,FFA,sus,18,0.6081621104740785
18,FFA,sus,19,0.6125268105532585
19,FFA,sus,20,0.6167293046999247
20,FFA,sus,21,0.6206882203941217
21,FFA,sus,22,0.6240756348829033
22,FFA,sus,23,0.6274209639438809
23,FFA,sus,24,0.6307392261182592
24,FFA,sus,25,0.6339301723273543
25,FFA,sus,26,0.6372043892061616
26,FFA,sus,27,0.6401535471313708
27,FFA,sus,28,0.6428407104780873
28,FFA,sus,29,0.6457024437079297
29,FFA,sus,30,0.648172890804905
30,FFA,sus,31,0.6505418527587804
31,FFA,sus,32,0.6529748065600656
32,FFA,sus,33,0.6551260911577053
33,FFA,sus,34,0.6572487866910522
34,FFA,sus,35,0.659320495011084
35,FFA,sus,36,0.6612128080309815
36,FFA,sus,37,0.6630925215624194
37,FFA,sus,38,0.6648980221829798
38,FFA,sus,39,0.6666537499858116
39,PPA,sus,1,0.27882129004258577
40,PPA,sus,2,0.3341280850924816
41,PPA,sus,3,0.3692521033462871
42,PPA,sus,4,0.3940704456222185
43,PPA,sus,5,0.41572610556673517
44,PPA,sus,6,0.4353810609317822
45,PPA,sus,7,0.45064203491305505
46,PPA,sus,8,0.464185622598113
47,PPA,sus,9,0.4768204222150957
48,PPA,sus,10,0.48795201267853816
49,PPA,sus,11,0.4983656880413306
50,PPA,sus,12,0.5077290452674946
51,PPA,sus,13,0.5167808877568815
52,PPA,sus,14,0.5239812869545597
53,PPA,sus,15,0.5319654300685334
