,subject,ROI,runtype,component,value
0,01,FFA,sus,1,0.5260706942667803
1,01,FFA,sus,2,0.6378693317056472
2,01,FFA,sus,3,0.6684352369170193
3,01,FFA,sus,4,0.6888981591963859
4,01,FFA,sus,5,0.7084923277687798
5,01,FFA,sus,6,0.716246131779235
6,01,FFA,sus,7,0.7279248973230752
7,01,FFA,sus,8,0.7397404992394474
8,01,FFA,sus,9,0.747293214349772
9,01,FFA,sus,10,0.7509272955819961
10,01,FFA,sus,11,0.7546027020683391
11,01,FFA,sus,12,0.7591519564348971
12,01,FFA,sus,13,0.7636732071948513
13,01,FFA,sus,14,0.7680415872334789
14,01,FFA,sus,15,0.7721730041854271
15,01,FFA,sus,16,0.7757638275688801
16,01,FFA,sus,17,0.7789649864829787
17,01,FFA,sus,18,0.7824938885615692
18,01,FFA,sus,19,0.7850793704801081
19,01,FFA,sus,20,0.7871771041733755
20,01,FFA,sus,21,0.7899956108755428
21,01,FFA,sus,22,0.7921698683383672
22,01,FFA,sus,23,0.7949105146337004
23,01,FFA,sus,24,0.7971316406575966
24,01,FFA,sus,25,0.7987768603968584
25,01,FFA,sus,26,0.800412779882904
26,01,FFA,sus,27,0.801844517098174
27,01,FFA,sus,28,0.8030975859999591
28,01,FFA,sus,29,0.8050344602776395
29,01,FFA,sus,30,0.8068824300034914
30,01,FFA,sus,31,0.8080177456271646
31,01,FFA,sus,32,0.8094312584396447
32,01,FFA,sus,33,0.8104104897658058
33,01,FFA,sus,34,0.8112233425323798
34,01,FFA,sus,35,0.8123361148992206
35,01,FFA,sus,36,0.8132345849058856
36,01,FFA,sus,37,0.8141533836478304
37,01,FFA,sus,38,0.815579274355844
38,01,FFA,sus,39,0.8164791580675986
39,01,PPA,sus,1,0.13455632086790215
40,01,PPA,sus,2,0.17623689820735003
41,01,PPA,sus,3,0.2141273484888574
42,01,PPA,sus,4,0.24663933342970382
43,01,PPA,sus,5,0.2686991523533199
44,01,PPA,sus,6,0.28923032099078194
45,01,PPA,sus,7,0.3085375581344264
46,01,PPA,sus,8,0.3271356418620151
47,01,PPA,sus,9,0.34053736882932667
48,01,PPA,sus,10,0.3563542934457143
49,01,PPA,sus,11,0.3730465529481159
50,01,PPA,sus,12,0.38514010101454565
51,01,PPA,sus,13,0.39465449698332766
52,01,PPA,sus,14,0.4062278658664448
53,01,PPA,sus,15,0.41607289081005017
54,01,PPA,sus,16,0.42461502917884114
55,01,PPA,sus,17,0.432117562382717
56,01,PPA,sus,18,0.4390113926898807
57,01,PPA,sus,19,0.44450857438992575
58,01,PPA,sus,20,0.4501114141395628
59,01,PPA,sus,21,0.4548785503307989
60,01,PPA,sus,22,0.4614182464721213
61,01,PPA,sus,23,0.466766184608574
62,01,PPA,sus,24,0.4703539789446449
63,01,PPA,sus,25,0.4757573504856598
64,01,PPA,sus,26,0.4802713908075585
65,01,PPA,sus,27,0.48485073173495347
66,01,PPA,sus,28,0.4884741784597073
67,01,PPA,sus,29,0.49379267978747526
68,01,PPA,sus,30,0.4981722713511186
69,01,PPA,sus,31,0.5012595230159543
70,01,PPA,sus,32,0.5052988915207285
71,01,PPA,sus,33,0.5079841454449506
72,01,PPA,sus,34,0.5120078712529836
73,01,PPA,sus,35,0.5147518315570893
74,01,PPA,sus,36,0.5183003534432183
75,01,PPA,sus,37,0.5213832445115975
76,01,PPA,sus,38,0.5241971563418631
77,01,PPA,sus,39,0.5270645142836603
78,01,EBA,sus,1,0.5519557970776107
79,01,EBA,sus,2,0.5903311534841884
80,01,EBA,sus,3,0.6167906395778427
81,01,EBA,sus,4,0.6448463923861251
82,01,EBA,sus,5,0.6702238607730733
83,01,EBA,sus,6,0.6880508295759161
84,01,EBA,sus,7,0.6995912436790984
85,01,EBA,sus,8,0.7071669872898191
86,01,EBA,sus,9,0.7166040183028449
87,01,EBA,sus,10,0.7212515700131189
88,01,EBA,sus,11,0.7250186337838455
89,01,EBA,sus,12,0.7297405736432699
90,01,EBA,sus,13,0.7333627165652264
91,01,EBA,sus,14,0.7383584385902745
92,01,EBA,sus,15,0.7425648945857691
93,01,EBA,sus,16,0.7454630729368531
94,01,EBA,sus,17,0.7478349914829611
95,01,EBA,sus,18,0.7503911786052976
96,01,EBA,sus,19,0.7524678446320059
97,01,EBA,sus,20,0.7543609684613936
98,01,EBA,sus,21,0.755872556050381
99,01,EBA,sus,22,0.7578914356940659
100,01,EBA,sus,23,0.7597091405413422
101,01,EBA,sus,24,0.7619134788854686
102,01,EBA,sus,25,0.7639861107987068
103,01,EBA,sus,26,0.7653391995617711
104,01,EBA,sus,27,0.7668842025206167
105,01,EBA,sus,28,0.7681992469158295
106,01,EBA,sus,29,0.7692920050911315
107,01,EBA,sus,30,0.7706513734342758
108,01,EBA,sus,31,0.7720904089338706
109,01,EBA,sus,32,0.7730543388945699
110,01,EBA,sus,33,0.7738541794993737
111,01,EBA,sus,34,0.7745868520855247
112,01,EBA,sus,35,0.7758168626653991
113,01,EBA,sus,36,0.776658308268838
114,01,EBA,sus,37,0.7776217131856852
115,01,EBA,sus,38,0.7784875990461896
116,01,EBA,sus,39,0.7792041521739385
117,01,EVC,sus,1,0.5935701804334858
118,01,EVC,sus,2,0.6203704219773111
119,01,EVC,sus,3,0.6392616828727397
120,01,EVC,sus,4,0.6552259287930118
121,01,EVC,sus,5,0.6696234200955482
122,01,EVC,sus,6,0.6813094340525779
123,01,EVC,sus,7,0.6915133518786152
124,01,EVC,sus,8,0.7008166258350307
125,01,EVC,sus,9,0.7072977626045057
126,01,EVC,sus,10,0.7124120017831294
127,01,EVC,sus,11,0.7184972428286583
128,01,EVC,sus,12,0.7232024420616437
129,01,EVC,sus,13,0.7286513328473179
130,01,EVC,sus,14,0.7321231595323857
131,01,EVC,sus,15,0.7359122815463319
132,01,EVC,sus,16,0.7400859477072225
133,01,EVC,sus,17,0.7435504653889895
134,01,EVC,sus,18,0.7462927964142428
135,01,EVC,sus,19,0.7529328285354616
136,01,EVC,sus,20,0.7561557864638901
137,01,EVC,sus,21,0.7583272258585537
138,01,EVC,sus,22,0.7604113846932864
139,01,EVC,sus,23,0.7631717701883898
140,01,EVC,sus,24,0.7657512625086585
141,01,EVC,sus,25,0.7682586574934066
142,01,EVC,sus,26,0.7708666031773213
143,01,EVC,sus,27,0.7721465890067911
144,01,EVC,sus,28,0.7746746614181568
145,01,EVC,sus,29,0.7763578944618236
146,01,EVC,sus,30,0.7788574881467453
147,01,EVC,sus,31,0.7806509478323459
148,01,EVC,sus,32,0.7821590711878952
149,01,EVC,sus,33,0.7836050406086422
150,01,EVC,sus,34,0.785150457587848
151,01,EVC,sus,35,0.7861845649640653
152,01,EVC,sus,36,0.7875620801564599
153,01,EVC,sus,37,0.7887229542080819
154,01,EVC,sus,38,0.7897565708179041
155,01,EVC,sus,39,0.7906180561999993
156,01,FFA,miniblock,1,0.6188263764018735
157,01,FFA,miniblock,2,0.7181468425650189
158,01,FFA,miniblock,3,0.7506379704055673
159,01,FFA,miniblock,4,0.7605080629033417
160,01,FFA,miniblock,5,0.7713740686382499
161,01,FFA,miniblock,6,0.7761667965901023
162,01,FFA,miniblock,7,0.781707406442116
163,01,FFA,miniblock,8,0.7885241340946963
164,01,FFA,miniblock,9,0.7984605189292392
165,01,FFA,miniblock,10,0.8045136377135277
166,01,FFA,miniblock,11,0.8093880127515671
167,01,FFA,miniblock,12,0.8140549957083404
168,01,FFA,miniblock,13,0.8184815314822341
169,01,FFA,miniblock,14,0.8221608834772131
170,01,FFA,miniblock,15,0.8260237975021297
171,01,FFA,miniblock,16,0.829327040389451
172,01,FFA,miniblock,17,0.8317507140184556
173,01,FFA,miniblock,18,0.8356858845706184
174,01,FFA,miniblock,19,0.837916109835588
175,01,FFA,miniblock,20,0.8407355708190526
176,01,FFA,miniblock,21,0.8420919824625965
177,01,FFA,miniblock,22,0.8436010476807225
178,01,FFA,miniblock,23,0.8457123814772762
179,01,FFA,miniblock,24,0.8478171050310376
180,01,FFA,miniblock,25,0.8491230044453513
181,01,FFA,miniblock,26,0.8515781665256865
182,01,FFA,miniblock,27,0.8527918799202491
183,01,FFA,miniblock,28,0.8550263652179627
184,01,FFA,miniblock,29,0.8561990787196226
185,01,FFA,miniblock,30,0.8576685692764667
186,01,FFA,miniblock,31,0.8591334763813764
187,01,FFA,miniblock,32,0.860196140322475
188,01,FFA,miniblock,33,0.8612851210860133
189,01,FFA,miniblock,34,0.8624400360113192
190,01,FFA,miniblock,35,0.8634096476215558
191,01,FFA,miniblock,36,0.8648965325927671
192,01,FFA,miniblock,37,0.865721586956845
193,01,FFA,miniblock,38,0.8667236248652709
194,01,FFA,miniblock,39,0.8680035201833981
195,01,PPA,miniblock,1,0.1723294559360231
196,01,PPA,miniblock,2,0.2627848878965303
197,01,PPA,miniblock,3,0.30385110579877617
198,01,PPA,miniblock,4,0.35318475282546397
199,01,PPA,miniblock,5,0.37843996051692247
200,01,PPA,miniblock,6,0.3901207152696508
201,01,PPA,miniblock,7,0.40634660668251055
202,01,PPA,miniblock,8,0.4241523169234416
203,01,PPA,miniblock,9,0.4401299503287279
204,01,PPA,miniblock,10,0.45381676065178533
205,01,PPA,miniblock,11,0.46644146603665665
206,01,PPA,miniblock,12,0.4804687153106784
207,01,PPA,miniblock,13,0.4950194339491009
208,01,PPA,miniblock,14,0.5074748355172214
209,01,PPA,miniblock,15,0.5212174904194904
210,01,PPA,miniblock,16,0.5323356667755097
211,01,PPA,miniblock,17,0.5430435302848403
212,01,PPA,miniblock,18,0.5530000131456775
213,01,PPA,miniblock,19,0.5607121075606162
214,01,PPA,miniblock,20,0.569649633060635
215,01,PPA,miniblock,21,0.5767353207124649
216,01,PPA,miniblock,22,0.5856738268068662
217,01,PPA,miniblock,23,0.5933169781680286
218,01,PPA,miniblock,24,0.6000602228693598
219,01,PPA,miniblock,25,0.6065708463869235
220,01,PPA,miniblock,26,0.6111919414913569
221,01,PPA,miniblock,27,0.6172795680068828
222,01,PPA,miniblock,28,0.6231488388071381
223,01,PPA,miniblock,29,0.6284734133499282
224,01,PPA,miniblock,30,0.6348784447361718
225,01,PPA,miniblock,31,0.6399330633311795
226,01,PPA,miniblock,32,0.6431218764552044
227,01,PPA,miniblock,33,0.6468385348450996
228,01,PPA,miniblock,34,0.6508132747192761
229,01,PPA,miniblock,35,0.65353131364469
230,01,PPA,miniblock,36,0.6572256571310202
231,01,PPA,miniblock,37,0.6603593816056313
232,01,PPA,miniblock,38,0.6635238701735158
233,01,PPA,miniblock,39,0.6663704522174362
234,01,EBA,miniblock,1,0.568189999892875
235,01,EBA,miniblock,2,0.6269371898235677
236,01,EBA,miniblock,3,0.652980492522557
237,01,EBA,miniblock,4,0.678046611553799
238,01,EBA,miniblock,5,0.6907314235214187
239,01,EBA,miniblock,6,0.6990281905723083
240,01,EBA,miniblock,7,0.7103108270645601
241,01,EBA,miniblock,8,0.719813897510698
242,01,EBA,miniblock,9,0.7268638992691487
243,01,EBA,miniblock,10,0.7324166638248929
244,01,EBA,miniblock,11,0.7369918863850806
245,01,EBA,miniblock,12,0.7387495332100067
246,01,EBA,miniblock,13,0.7425072861641557
247,01,EBA,miniblock,14,0.7446943052021835
248,01,EBA,miniblock,15,0.7472377704823283
249,01,EBA,miniblock,16,0.7491478909605652
250,01,EBA,miniblock,17,0.7518470728143063
251,01,EBA,miniblock,18,0.7538292614336187
252,01,EBA,miniblock,19,0.7557962282973133
253,01,EBA,miniblock,20,0.7576029465907878
254,01,EBA,miniblock,21,0.7597376302249762
255,01,EBA,miniblock,22,0.7614437263018484
256,01,EBA,miniblock,23,0.762973801501451
257,01,EBA,miniblock,24,0.7645011390937292
258,01,EBA,miniblock,25,0.7655980424818752
259,01,EBA,miniblock,26,0.7677041137925852
260,01,EBA,miniblock,27,0.7692000680885472
261,01,EBA,miniblock,28,0.770868283919563
262,01,EBA,miniblock,29,0.7720123692039124
263,01,EBA,miniblock,30,0.773475063889497
264,01,EBA,miniblock,31,0.7743159366574283
265,01,EBA,miniblock,32,0.7760169671943319
266,01,EBA,miniblock,33,0.7770141673344542
267,01,EBA,miniblock,34,0.7781014051116825
268,01,EBA,miniblock,35,0.779262534490663
269,01,EBA,miniblock,36,0.780065505278594
270,01,EBA,miniblock,37,0.7808541652180013
271,01,EBA,miniblock,38,0.7814661386882703
272,01,EBA,miniblock,39,0.7820581081839119
273,01,EVC,miniblock,1,0.5845596751020158
274,01,EVC,miniblock,2,0.6035968778356375
275,01,EVC,miniblock,3,0.6383428140875163
276,01,EVC,miniblock,4,0.6594974424437036
277,01,EVC,miniblock,5,0.6765551108534913
278,01,EVC,miniblock,6,0.6925041368180774
279,01,EVC,miniblock,7,0.7046880221900299
280,01,EVC,miniblock,8,0.7155715028494045
281,01,EVC,miniblock,9,0.733964704764318
282,01,EVC,miniblock,10,0.740284316259762
283,01,EVC,miniblock,11,0.7442838686211815
284,01,EVC,miniblock,12,0.7557127655260637
285,01,EVC,miniblock,13,0.7596064978581047
286,01,EVC,miniblock,14,0.7641778606361128
287,01,EVC,miniblock,15,0.7669371092965469
288,01,EVC,miniblock,16,0.771509747679152
289,01,EVC,miniblock,17,0.7755667178111606
290,01,EVC,miniblock,18,0.7788702953359993
291,01,EVC,miniblock,19,0.7816376069080399
292,01,EVC,miniblock,20,0.7847433347838839
293,01,EVC,miniblock,21,0.7868238066862597
294,01,EVC,miniblock,22,0.7914916175765697
295,01,EVC,miniblock,23,0.7932101479449839
296,01,EVC,miniblock,24,0.7971191941739658
297,01,EVC,miniblock,25,0.7991367086567646
298,01,EVC,miniblock,26,0.8003609097390377
299,01,EVC,miniblock,27,0.8017568974054429
300,01,EVC,miniblock,28,0.8039430709044758
301,01,EVC,miniblock,29,0.8061077870812786
302,01,EVC,miniblock,30,0.8073006547314335
303,01,EVC,miniblock,31,0.8090916617214444
304,01,EVC,miniblock,32,0.8101500396321928
305,01,EVC,miniblock,33,0.8109825809577131
306,01,EVC,miniblock,34,0.8121244405616913
307,01,EVC,miniblock,35,0.8129193745584549
308,01,EVC,miniblock,36,0.8146219790882946
309,01,EVC,miniblock,37,0.815446356370736
310,01,EVC,miniblock,38,0.8164292812114936
311,01,EVC,miniblock,39,0.8172840103221568
312,01,FFA,er,1,0.6593199780868885
313,01,FFA,er,2,0.6972332606807911
314,01,FFA,er,3,0.7119909001755967
315,01,FFA,er,4,0.7214682703610119
316,01,FFA,er,5,0.7339850786498724
317,01,FFA,er,6,0.7419931926100473
318,01,FFA,er,7,0.7490886605933672
319,01,FFA,er,8,0.7562172702723489
320,01,FFA,er,9,0.7627102936211222
321,01,FFA,er,10,0.7694054711172841
322,01,FFA,er,11,0.7751261506073708
323,01,FFA,er,12,0.780144804867713
324,01,FFA,er,13,0.7848873601106169
325,01,FFA,er,14,0.788035638655831
326,01,FFA,er,15,0.7920437689799741
327,01,FFA,er,16,0.7949061341227209
328,01,FFA,er,17,0.7980974495232416
329,01,FFA,er,18,0.8019052248480717
330,01,FFA,er,19,0.8047787661332849
331,01,FFA,er,20,0.8087920696713828
332,01,FFA,er,21,0.8109111589680437
333,01,FFA,er,22,0.8137487797046701
334,01,FFA,er,23,0.8169846796572116
335,01,FFA,er,24,0.8192933153444142
336,01,FFA,er,25,0.8209103005069377
337,01,FFA,er,26,0.8243535993109367
338,01,FFA,er,27,0.8270082515608205
339,01,FFA,er,28,0.829501235398563
340,01,FFA,er,29,0.8318563223419684
341,01,FFA,er,30,0.8340333377975373
342,01,FFA,er,31,0.8357228724838187
343,01,FFA,er,32,0.8371056487670371
344,01,FFA,er,33,0.8390450645982623
345,01,FFA,er,34,0.8402651958532741
346,01,FFA,er,35,0.8416174527367667
347,01,FFA,er,36,0.842719172285132
348,01,FFA,er,37,0.8441117910745365
349,01,FFA,er,38,0.8459264550046082
350,01,FFA,er,39,0.8474314806926269
351,01,PPA,er,1,0.05579150244191988
352,01,PPA,er,2,0.1419904397326883
353,01,PPA,er,3,0.23093188177064292
354,01,PPA,er,4,0.2733464750334283
355,01,PPA,er,5,0.30737282145039696
356,01,PPA,er,6,0.3431570909009964
357,01,PPA,er,7,0.3660773505813187
358,01,PPA,er,8,0.3905978288944935
359,01,PPA,er,9,0.4104158862804368
360,01,PPA,er,10,0.4325987683634922
361,01,PPA,er,11,0.44995464680355274
362,01,PPA,er,12,0.4658488926059267
363,01,PPA,er,13,0.4877661416693205
364,01,PPA,er,14,0.49818696909473265
365,01,PPA,er,15,0.5083687742328777
366,01,PPA,er,16,0.517473193268142
367,01,PPA,er,17,0.527411015052707
368,01,PPA,er,18,0.5370509869777039
369,01,PPA,er,19,0.5469263994683685
370,01,PPA,er,20,0.5567097137789098
371,01,PPA,er,21,0.565843630602627
372,01,PPA,er,22,0.5734969836715778
373,01,PPA,er,23,0.5789489227053163
374,01,PPA,er,24,0.5866160499003916
375,01,PPA,er,25,0.5932201457630866
376,01,PPA,er,26,0.5988672979705579
377,01,PPA,er,27,0.6049500182553749
378,01,PPA,er,28,0.6106142842260854
379,01,PPA,er,29,0.6151405684320729
380,01,PPA,er,30,0.6190332335679828
381,01,PPA,er,31,0.6226421456044039
382,01,PPA,er,32,0.6265015679913971
383,01,PPA,er,33,0.6311694931060284
384,01,PPA,er,34,0.6348242627217665
385,01,PPA,er,35,0.6400236265694476
386,01,PPA,er,36,0.643078979489572
387,01,PPA,er,37,0.6468187882565939
388,01,PPA,er,38,0.6508741273085844
389,01,PPA,er,39,0.6546464343555644
390,01,EBA,er,1,0.18967288790761472
