,ROI,Design,Subject,Accuracy
0,visually_responsive_voxels,miniblock,01,76.57051086425781
1,visually_responsive_voxels,miniblock,02,81.78418731689453
2,visually_responsive_voxels,miniblock,03,75.97222137451172
3,visually_responsive_voxels,miniblock,04,69.28418731689453
4,visually_responsive_voxels,miniblock,05,79.82906341552734
5,visually_responsive_voxels,miniblock,06,58.57905960083008
6,visually_responsive_voxels,miniblock,07,73.06623840332031
7,visually_responsive_voxels,miniblock,08,78.31196594238281
8,visually_responsive_voxels,miniblock,10,75.39530181884766
9,visually_responsive_voxels,miniblock,11,77.04059600830078
10,visually_responsive_voxels,miniblock,12,82.008544921875
11,visually_responsive_voxels,miniblock,13,67.62820434570312
12,visually_responsive_voxels,miniblock,14,75.7371826171875
13,visually_responsive_voxels,miniblock,15,86.1645278930664
14,visually_responsive_voxels,miniblock,17,70.88674926757812
15,visually_responsive_voxels,miniblock,18,86.10042572021484
16,visually_responsive_voxels,miniblock,19,64.47649383544922
17,visually_responsive_voxels,miniblock,20,71.26068115234375
18,visually_responsive_voxels,miniblock,21,74.00640869140625
19,visually_responsive_voxels,miniblock,22,88.4188003540039
20,visually_responsive_voxels,sus,01,72.77777862548828
21,visually_responsive_voxels,sus,02,82.2542724609375
22,visually_responsive_voxels,sus,03,72.05128479003906
23,visually_responsive_voxels,sus,04,70.88674926757812
24,visually_responsive_voxels,sus,05,71.57051086425781
25,visually_responsive_voxels,sus,06,67.59615325927734
26,visually_responsive_voxels,sus,07,72.61752319335938
27,visually_responsive_voxels,sus,08,80.81196594238281
28,visually_responsive_voxels,sus,10,75.21367645263672
29,visually_responsive_voxels,sus,11,79.03845977783203
30,visually_responsive_voxels,sus,12,77.30769348144531
31,visually_responsive_voxels,sus,13,55.54487228393555
32,visually_responsive_voxels,sus,14,66.12179565429688
33,visually_responsive_voxels,sus,15,83.53632354736328
34,visually_responsive_voxels,sus,17,58.269229888916016
35,visually_responsive_voxels,sus,18,88.27991485595703
36,visually_responsive_voxels,sus,19,63.119659423828125
37,visually_responsive_voxels,sus,20,68.6645278930664
38,visually_responsive_voxels,sus,21,72.02991485595703
39,visually_responsive_voxels,sus,22,83.49359130859375
40,visually_responsive_voxels,er,01,51.38888931274414
41,visually_responsive_voxels,er,02,64.9145278930664
42,visually_responsive_voxels,er,03,56.55982971191406
43,visually_responsive_voxels,er,04,53.846153259277344
44,visually_responsive_voxels,er,05,60.86538314819336
45,visually_responsive_voxels,er,06,56.2927360534668
46,visually_responsive_voxels,er,07,57.489315032958984
47,visually_responsive_voxels,er,08,55.737178802490234
48,visually_responsive_voxels,er,10,61.67734909057617
49,visually_responsive_voxels,er,11,61.64529800415039
50,visually_responsive_voxels,er,12,57.11538314819336
51,visually_responsive_voxels,er,13,58.728633880615234
52,visually_responsive_voxels,er,14,57.9487190246582
53,visually_responsive_voxels,er,15,63.27991485595703
54,visually_responsive_voxels,er,17,54.74359130859375
55,visually_responsive_voxels,er,18,64.4871826171875
56,visually_responsive_voxels,er,19,59.57265090942383
57,visually_responsive_voxels,er,20,53.846153259277344
58,visually_responsive_voxels,er,21,65.36325073242188
59,visually_responsive_voxels,er,22,63.96367645263672
60,FFA,miniblock,01,75.491455078125
61,FFA,miniblock,02,78.2371826171875
62,FFA,miniblock,03,64.74359130859375
63,FFA,miniblock,04,70.17093658447266
64,FFA,miniblock,05,72.47863006591797
65,FFA,miniblock,06,70.11752319335938
66,FFA,miniblock,07,71.86965942382812
67,FFA,miniblock,08,74.85042572021484
68,FFA,miniblock,10,65.09615325927734
69,FFA,miniblock,11,76.13247680664062
70,FFA,miniblock,12,78.69657897949219
71,FFA,miniblock,13,68.2371826171875
72,FFA,miniblock,14,68.0982894897461
73,FFA,miniblock,15,82.94871520996094
74,FFA,miniblock,17,66.78418731689453
75,FFA,miniblock,18,75.52350616455078
76,FFA,miniblock,19,61.89102554321289
77,FFA,miniblock,20,58.482906341552734
78,FFA,miniblock,21,68.82478332519531
79,FFA,miniblock,22,79.96794891357422
80,FFA,sus,01,72.43589782714844
81,FFA,sus,02,75.70513153076172
82,FFA,sus,03,63.5042724609375
83,FFA,sus,04,64.97863006591797
84,FFA,sus,05,72.26495361328125
85,FFA,sus,06,68.93162536621094
86,FFA,sus,07,65.56623840332031
87,FFA,sus,08,73.77136993408203
88,FFA,sus,10,63.39743423461914
89,FFA,sus,11,74.43376159667969
90,FFA,sus,12,79.71154022216797
91,FFA,sus,13,61.03632354736328
92,FFA,sus,14,61.92307662963867
93,FFA,sus,15,80.06410217285156
94,FFA,sus,17,57.55341720581055
95,FFA,sus,18,76.82691955566406
96,FFA,sus,19,58.739315032958984
97,FFA,sus,20,55.128204345703125
98,FFA,sus,21,73.54701232910156
99,FFA,sus,22,79.508544921875
100,FFA,er,01,63.24786376953125
