design,subject,ROI,correlation
sus,01,EBA_mask,0.2667489591534503
sus,01,FFA_mask,0.2716573271058075
sus,01,PPA_mask,0.2892752946668223
miniblock,01,EBA_mask,0.4211549176925517
miniblock,01,FFA_mask,0.38876835255001563
miniblock,01,PPA_mask,0.14738088756783724
er,01,EBA_mask,0.21592912141285828
er,01,FFA_mask,0.4803004404877518
er,01,PPA_mask,0.38533502874568526
sus,02,EBA_mask,0.08611484340931629
sus,02,FFA_mask,0.10254472425547657
sus,02,PPA_mask,0.5696841660211094
miniblock,02,EBA_mask,0.151922618595312
miniblock,02,FFA_mask,0.05931304949547912
miniblock,02,PPA_mask,0.5238851224531674
er,02,EBA_mask,0.15757424878182802
er,02,FFA_mask,0.10722262604234797
er,02,PPA_mask,0.3847181511829218
sus,03,EBA_mask,0.17778611126529187
sus,03,FFA_mask,0.15952509404569648
sus,03,PPA_mask,0.30935574035612
miniblock,03,EBA_mask,0.18598649899161573
miniblock,03,FFA_mask,0.19216501013315276
miniblock,03,PPA_mask,0.036643311126668264
er,03,EBA_mask,0.27044749352872804
er,03,FFA_mask,0.1441764874189977
er,03,PPA_mask,0.12926898807677706
sus,04,EBA_mask,0.30430530976192627
sus,04,FFA_mask,0.3213991526562718
sus,04,PPA_mask,0.441194524797555
miniblock,04,EBA_mask,0.1990081154991025
miniblock,04,FFA_mask,0.09150568825847714
miniblock,04,PPA_mask,0.5492745588136935
er,04,EBA_mask,0.28286785986979446
er,04,FFA_mask,0.1940944372664346
er,04,PPA_mask,0.3632374351497822
sus,05,EBA_mask,0.2994263253606218
sus,05,FFA_mask,0.2692862110859182
sus,05,PPA_mask,0.17037253007167488
miniblock,05,EBA_mask,0.2373411325335967
miniblock,05,FFA_mask,0.38358994420033315
miniblock,05,PPA_mask,0.3103550339624035
er,05,EBA_mask,0.23826049377767908
er,05,FFA_mask,0.28227063034418076
er,05,PPA_mask,0.024918566219258694
sus,06,EBA_mask,-0.18711999096746607
sus,06,FFA_mask,-0.20963676797627873
sus,06,PPA_mask,0.25760265878149047
miniblock,06,EBA_mask,0.08970985260558385
miniblock,06,FFA_mask,0.08183561723853539
miniblock,06,PPA_mask,0.34975713685869353
er,06,EBA_mask,0.18716345940486678
er,06,FFA_mask,0.061434481192567586
er,06,PPA_mask,0.1803074829309258
sus,07,EBA_mask,-0.09083345734523662
sus,07,FFA_mask,0.14870208530914744
sus,07,PPA_mask,0.18429980224263254
miniblock,07,EBA_mask,-0.0305642792362856
miniblock,07,FFA_mask,0.17359473230307998
miniblock,07,PPA_mask,0.3726401714866522
er,07,EBA_mask,0.03868018293157059
er,07,FFA_mask,0.16997863370786406
er,07,PPA_mask,0.23265283776954573
sus,08,EBA_mask,-0.17363890877785546
sus,08,FFA_mask,0.31314411961684563
sus,08,PPA_mask,0.24212526521373184
miniblock,08,EBA_mask,-0.02037460993146325
miniblock,08,FFA_mask,0.1873552869593297
miniblock,08,PPA_mask,0.23779511092606612
er,08,EBA_mask,0.17742534093580034
er,08,FFA_mask,0.12904684135044475
er,08,PPA_mask,0.1624079693652458
sus,10,EBA_mask,-0.03834351115987016
sus,10,FFA_mask,0.0190701522166564
sus,10,PPA_mask,0.0028466642652399043
miniblock,10,EBA_mask,-0.022026031246953702
miniblock,10,FFA_mask,0.11842754508143505
miniblock,10,PPA_mask,0.08864741723770092
er,10,EBA_mask,0.10228090447222958
er,10,FFA_mask,0.01780698825302778
er,10,PPA_mask,0.1484775616001999
sus,11,EBA_mask,0.16575124598773552
sus,11,FFA_mask,0.1595004897469234
sus,11,PPA_mask,0.04136918244567994
miniblock,11,EBA_mask,0.18442820987795588
miniblock,11,FFA_mask,0.10855328114002108
miniblock,11,PPA_mask,0.25487747350012085
er,11,EBA_mask,0.09520058129868468
er,11,FFA_mask,0.21949636542921544
er,11,PPA_mask,0.15136445756055586
sus,12,EBA_mask,0.1464932109962756
sus,12,FFA_mask,0.17613979793371937
sus,12,PPA_mask,0.6966802782637458
miniblock,12,EBA_mask,0.020470675430989304
miniblock,12,FFA_mask,-0.07916085433306863
miniblock,12,PPA_mask,0.7333399248241318
er,12,EBA_mask,0.095166595504696
er,12,FFA_mask,0.13541093414531732
er,12,PPA_mask,0.5386407983525994
sus,13,EBA_mask,0.26869322978455307
sus,13,FFA_mask,0.2343756444246419
sus,13,PPA_mask,0.36199877433673017
miniblock,13,EBA_mask,0.23650033815106408
miniblock,13,FFA_mask,0.15235735354341728
miniblock,13,PPA_mask,0.021686754909196103
er,13,EBA_mask,0.3569569160521808
er,13,FFA_mask,0.20353957998464317
er,13,PPA_mask,0.029243915967595662
sus,14,EBA_mask,0.2034937345646272
sus,14,FFA_mask,0.402511914309271
sus,14,PPA_mask,0.2777906755776542
miniblock,14,EBA_mask,0.011289504218322314
miniblock,14,FFA_mask,0.46493860873437437
miniblock,14,PPA_mask,0.1711871270713412
er,14,EBA_mask,0.1244492512315109
er,14,FFA_mask,0.36404634256340124
er,14,PPA_mask,0.21648895139285493
sus,15,EBA_mask,0.36486465675928514
sus,15,FFA_mask,0.3436053541280539
sus,15,PPA_mask,0.06820597363546975
miniblock,15,EBA_mask,0.30971350152676885
miniblock,15,FFA_mask,0.18638611022852283
miniblock,15,PPA_mask,0.08853534503609538
er,15,EBA_mask,0.3082771212768139
er,15,FFA_mask,0.18830238809627337
er,15,PPA_mask,0.17271034304790114
sus,17,EBA_mask,0.46138593005829803
sus,17,FFA_mask,0.291952864434739
sus,17,PPA_mask,0.22063003441440948
miniblock,17,EBA_mask,0.13836041555219267
miniblock,17,FFA_mask,0.20666417420652716
miniblock,17,PPA_mask,0.22058325337357684
er,17,EBA_mask,0.3669850769744096
er,17,FFA_mask,0.24469655351428662
er,17,PPA_mask,0.08028483837845787
sus,18,EBA_mask,0.23521492158422858
sus,18,FFA_mask,0.00010041487197103824
sus,18,PPA_mask,0.14563775012526572
miniblock,18,EBA_mask,0.2138355054697784
miniblock,18,FFA_mask,-0.007117545709818216
miniblock,18,PPA_mask,0.02581271627538962
er,18,EBA_mask,0.15032220125785367
er,18,FFA_mask,0.17083065554019647
er,18,PPA_mask,0.08224582374901492
sus,19,EBA_mask,0.3478655391508634
sus,19,FFA_mask,0.4858690280050276
sus,19,PPA_mask,0.4706055375855951
miniblock,19,EBA_mask,0.4658070418615719
miniblock,19,FFA_mask,0.5456763887362885
miniblock,19,PPA_mask,0.5476385625981532
er,19,EBA_mask,0.1232430589895017
er,19,FFA_mask,0.23353907297930873
er,19,PPA_mask,0.38189528203088385
sus,20,EBA_mask,0.08639277336596038
sus,20,FFA_mask,0.2392811296534018
sus,20,PPA_mask,0.03749953060915111
miniblock,20,EBA_mask,-0.0021501830719137124
miniblock,20,FFA_mask,0.046535705882286005
miniblock,20,PPA_mask,0.25011306471828265
er,20,EBA_mask,0.18262663406491716
er,20,FFA_mask,0.15982095252015158
er,20,PPA_mask,0.1119216678022659
sus,21,EBA_mask,0.614492918172247
sus,21,FFA_mask,0.2925540640270612
sus,21,PPA_mask,0.1711005189281781
miniblock,21,EBA_mask,0.5114627584352223
miniblock,21,FFA_mask,0.26474488465122903
miniblock,21,PPA_mask,0.0719480017351973
er,21,EBA_mask,0.5056236247796392
er,21,FFA_mask,0.26300900459174886
er,21,PPA_mask,0.15209919805916838
sus,22,EBA_mask,0.1436107402695119
sus,22,FFA_mask,0.43420313617569045
sus,22,PPA_mask,0.21723082283931333
miniblock,22,EBA_mask,0.22427270969822818
miniblock,22,FFA_mask,0.36284083307171777
miniblock,22,PPA_mask,0.1708249912411984
er,22,EBA_mask,0.2857733165241889
er,22,FFA_mask,0.4530022112260084
er,22,PPA_mask,0.06946837898762541
