subject,runtype,smoothing,median_rel,mean_rel,ROI,comparison
01,miniblock,unsmoothed,0.04372951591631495,0.049668605092145005,visually_responsive_voxels,1
01,miniblock,unsmoothed,0.06980198879782032,0.08528664692328392,visually_responsive_voxels,2
01,miniblock,unsmoothed,0.06613824935647383,0.07654074853221811,visually_responsive_voxels,3
01,miniblock,sm_2_vox,0.10491973272405594,0.14183030533858884,visually_responsive_voxels,1
01,miniblock,sm_2_vox,0.09604773152402254,0.13882543514327725,visually_responsive_voxels,2
01,miniblock,sm_2_vox,0.12952914622117034,0.16078868834565432,visually_responsive_voxels,3
01,sus,unsmoothed,0.031783598278390036,0.043365898136271744,visually_responsive_voxels,1
01,sus,unsmoothed,0.047301164800104836,0.056176837483504584,visually_responsive_voxels,2
01,sus,unsmoothed,0.03788665524701536,0.048029425595993686,visually_responsive_voxels,3
01,sus,sm_2_vox,0.06954747065501687,0.10056679184935252,visually_responsive_voxels,1
01,sus,sm_2_vox,0.0741715809045499,0.09708610453805328,visually_responsive_voxels,2
01,sus,sm_2_vox,0.07481010493389997,0.09766059133614034,visually_responsive_voxels,3
01,er,unsmoothed,0.01283672951900337,0.013375264352137105,visually_responsive_voxels,1
01,er,unsmoothed,0.00036397033419111394,0.0010478942067838597,visually_responsive_voxels,2
01,er,unsmoothed,0.0044734786500529,0.004312662033243855,visually_responsive_voxels,3
01,er,sm_2_vox,0.06474786570609524,0.06836156939552074,visually_responsive_voxels,1
01,er,sm_2_vox,0.023618768932765967,0.030100200012429464,visually_responsive_voxels,2
01,er,sm_2_vox,0.0418454848599226,0.043341763406523896,visually_responsive_voxels,3
01,miniblock,unsmoothed,0.20212026995756008,0.2005832320956547,FFA,1
01,miniblock,unsmoothed,0.2048013016498195,0.19690195859774462,FFA,2
01,miniblock,unsmoothed,0.22025463049745242,0.23324142209638757,FFA,3
01,miniblock,sm_2_vox,0.5104661215240203,0.4518439233135064,FFA,1
01,miniblock,sm_2_vox,0.5072379781628406,0.44362710051141224,FFA,2
01,miniblock,sm_2_vox,0.49519938326768165,0.4618379533314405,FFA,3
01,sus,unsmoothed,0.16988463907901874,0.1810555289850129,FFA,1
01,sus,unsmoothed,0.24197941341221965,0.2442787860007943,FFA,2
01,sus,unsmoothed,0.15222398320261651,0.18124150334001782,FFA,3
01,sus,sm_2_vox,0.4607203584659831,0.4195842901675179,FFA,1
01,sus,sm_2_vox,0.4764836015930429,0.43886138370201266,FFA,2
01,sus,sm_2_vox,0.41135036125980246,0.35541997848451,FFA,3
01,er,unsmoothed,0.05652205852131255,0.05202121889884593,FFA,1
01,er,unsmoothed,0.059622512769382296,0.044559131814147654,FFA,2
01,er,unsmoothed,0.09684809165057234,0.08842566951278331,FFA,3
01,er,sm_2_vox,0.18848759333028267,0.21634596874000966,FFA,1
01,er,sm_2_vox,0.16543357219745777,0.16675841720006251,FFA,2
01,er,sm_2_vox,0.21191718221843794,0.20780829770202144,FFA,3
01,miniblock,unsmoothed,0.011018187234114688,0.026856814093240637,PPA,1
01,miniblock,unsmoothed,0.034586065288447,0.026273471256669456,PPA,2
01,miniblock,unsmoothed,0.04584084816169643,0.04323338937118568,PPA,3
01,miniblock,sm_2_vox,0.10165896135827993,0.06634390817846768,PPA,1
01,miniblock,sm_2_vox,0.10190235805605213,0.09485466473211955,PPA,2
01,miniblock,sm_2_vox,0.18714638282384072,0.1793657726326467,PPA,3
01,sus,unsmoothed,0.00492366335606971,-0.005307477035377815,PPA,1
01,sus,unsmoothed,0.03376263773991906,0.03157959898508987,PPA,2
01,sus,unsmoothed,0.030915233570386377,0.05297758553209065,PPA,3
01,sus,sm_2_vox,-0.002863807610701723,0.00870234436508229,PPA,1
01,sus,sm_2_vox,0.09368144615130763,0.09811220817646808,PPA,2
01,sus,sm_2_vox,0.18520851430230378,0.184480815369333,PPA,3
01,er,unsmoothed,-0.02716240854862947,-0.0297570654637982,PPA,1
01,er,unsmoothed,0.03474816794371745,0.025816038134053827,PPA,2
01,er,unsmoothed,-0.038355538528010644,-0.006625055665092959,PPA,3
01,er,sm_2_vox,0.006149561096940349,0.030882076601325043,PPA,1
01,er,sm_2_vox,0.038337514088400346,0.035980313131788545,PPA,2
01,er,sm_2_vox,0.07651532328918156,0.06890559737450141,PPA,3
01,miniblock,unsmoothed,0.09388725427831206,0.10119571156389286,EBA,1
01,miniblock,unsmoothed,0.11390059787427857,0.12688649955931508,EBA,2
01,miniblock,unsmoothed,0.10493552501495662,0.11763248928601598,EBA,3
01,miniblock,sm_2_vox,0.2232321964239548,0.23963936720713824,EBA,1
01,miniblock,sm_2_vox,0.20464383091358485,0.22150237772412612,EBA,2
01,miniblock,sm_2_vox,0.2979778739851324,0.31254689034652,EBA,3
01,sus,unsmoothed,0.056666426164710675,0.0705732077007208,EBA,1
01,sus,unsmoothed,0.09586100229944293,0.09852973706221005,EBA,2
01,sus,unsmoothed,0.07023009577043153,0.07694763655387625,EBA,3
01,sus,sm_2_vox,0.18792210826522968,0.19664786394522005,EBA,1
01,sus,sm_2_vox,0.19801634444718663,0.2004293139868359,EBA,2
01,sus,sm_2_vox,0.15751806850197425,0.1712168061821387,EBA,3
01,er,unsmoothed,0.025005305558198,0.023576061903323196,EBA,1
01,er,unsmoothed,0.0015975016524037919,0.002640485344935389,EBA,2
01,er,unsmoothed,0.015329667063503263,0.01637137647604816,EBA,3
01,er,sm_2_vox,0.08760367419508786,0.09024076828960363,EBA,1
01,er,sm_2_vox,0.037385533671545415,0.03915706336635144,EBA,2
01,er,sm_2_vox,0.0915764460250201,0.08396400565709114,EBA,3
01,miniblock,unsmoothed,0.06783419753725713,0.08271114636712344,EVC,1
01,miniblock,unsmoothed,0.12555044537101662,0.14414437811234182,EVC,2
01,miniblock,unsmoothed,0.11154551856969193,0.130566537008855,EVC,3
01,miniblock,sm_2_vox,0.20682010086222005,0.2532656087755273,EVC,1
01,miniblock,sm_2_vox,0.22917973457767699,0.2563338934048273,EVC,2
01,miniblock,sm_2_vox,0.2232430086820305,0.27320329641186886,EVC,3
01,sus,unsmoothed,0.09579462398926489,0.11526053650543203,EVC,1
01,sus,unsmoothed,0.10079377171545484,0.11362322025497135,EVC,2
01,sus,unsmoothed,0.09877865523769525,0.11948121339372066,EVC,3
01,sus,sm_2_vox,0.2223138240511968,0.24482982553012972,EVC,1
01,sus,sm_2_vox,0.19835464899630859,0.2183953569400406,EVC,2
01,sus,sm_2_vox,0.20415902733952263,0.23741646739599775,EVC,3
01,er,unsmoothed,0.013349602647390517,0.014773332037805066,EVC,1
01,er,unsmoothed,0.02570280018697406,0.028242199818888754,EVC,2
01,er,unsmoothed,-7.778133796348258e-05,0.005598967896996798,EVC,3
01,er,sm_2_vox,0.11786645767770174,0.11119560617297022,EVC,1
01,er,sm_2_vox,0.07938833054250505,0.08749745296101992,EVC,2
01,er,sm_2_vox,0.05006329596913839,0.060105305874935275,EVC,3
02,miniblock,unsmoothed,0.06351519775140249,0.0764779992929034,visually_responsive_voxels,1
02,miniblock,unsmoothed,0.038199824738930944,0.046129390645568334,visually_responsive_voxels,2
02,miniblock,unsmoothed,0.07520785888821366,0.08417239679784216,visually_responsive_voxels,3
02,miniblock,sm_2_vox,0.11618421660465666,0.14836165106447557,visually_responsive_voxels,1
02,miniblock,sm_2_vox,0.10571536197377308,0.139631155699868,visually_responsive_voxels,2
02,miniblock,sm_2_vox,0.08792510159221188,0.12203659807642402,visually_responsive_voxels,3
02,sus,unsmoothed,0.06453427845413796,0.08066119422502134,visually_responsive_voxels,1
02,sus,unsmoothed,-0.002510635504805892,0.011440176043551721,visually_responsive_voxels,2
